bug_description,dev_type
Remove double asterisk symbol from toggle categories of users (check in academic admin and academic director).,Frontend
dropdown for user field and categories of users no alphabetical order,Frontend
list user in the dropdown user not displaying user and student in the title and class after I selected. there are still users and students who have not been displayed,Frontend
"When I create a step with Question and field, and I change the toggle to question/field, I cannot save the data, the button save is not activated",Frontend
"NO FR Localization on status ""Employability survey is not published"" on Employability Survey(ES) Details",Frontend
"Need to add 1 column for Student Status if the student Active, suspended, Deactivated or Completed",Frontend
"Wrong FR in column Status, it must be Status",Frontend
Student get error when accessing the form via employability survey menu or via pending task menu,Frontend
Do not display column selection checkbox if the Employability Survey is Continous Employability Survey,Frontend
"Need to add option ""Not Sent"" on the column Employability Survey1 so user can filter all the Employability Surveywhich still not sent",Frontend
Summary Step Type in Form Type Employability Survey is not displaying anything,Frontend
Sweet alert Send Employability Survey: reduce countdown to 2s only,Frontend
"Column School: Currently Filter is displaying All school in the platform, it must display only all school that connected to the Title and Class",Frontend
Send to Student button is not hidden after I successfully click on send to student and success. ,Frontend
"Employability Survey  Table: Switch column Class and Title. it must be column Title first then Class, from left to right",Frontend
Data for Send fied is not populated in the Employability Survey card,Frontend
"TASK: Validator receive task to validate the Form, but the task has no Description",Frontend
"TASK: Student receive task to do revision of Employability Survey after being rejected, but the task has NO Description",Frontend
Summary Step: Step optional that is not selected by the student must be not displayed in the summary,Frontend
List of Employabiliity survey table: I created Employability Survey Process and Template selected is not displayed in the table,Frontend
One Time ES: Task to complete ES have no Due Date and  expired date in the description displayed as undefined,Frontend
Table: Filter and sorting in column status is not working yet,Frontend
Employability Survey status is Not Sent but in table the button for reminder already displayed. It is more make sense if the button reminder displayed after the status is Sent,Frontend
"We have 2 status column in the Employability Survey Parameter table, but we still only have 1 in Employability Survey Result table. I think we need to make it the same as in Employability Survey parameter, so it is consistent",Frontend
"In Employability Survey List Table, Filter on Column Class has to be cascade after filter title",Frontend
There is no radio button for Relative Date and Exact Date in the Step 1: Employability Survey Parameter for Continuous Employability Survey ,Frontend
"Add Validation for the Send Date in Continuous Employability Survey (Relative Date), the minimum number user can enter is 1, so user cannot enter 0 days after PASS decision",Frontend
"On column Template Selected in Employability Survey Table, if the continuous is using same template, it should not displayed multiple times in the table.",Frontend
"When user click sent to student and the Employability Survey has been sent, the status of Employability Survey is not directly changed to ""Published"", need to refresh the page first then the status will change from Unpublish to Published (test case: using One Time Employability Survey)",Frontend
"limit recipient as validator to (academic director, certifier admin, operator)",Frontend
Export: There is error when user want to export Employability Survey Result. Cannot read properties of undefined (reading 'student_responses'),Frontend
Export: The button Export is not active when I select all student in the table using checkbox in column header,Frontend
"Fix: Display ""Send to student"" button only once in the beginning and once it is published, and then hide it.",Frontend
"Employability Survey Parameter for a sent Employability Survey must be non-editable for Date and Expiration date. Remove ""Employability Survey"" button for 2nd and 3rd Employability Survey when already sent to at least 1 student.",Frontend
Task complete Employability Survey for student. Need a space between The description of task with the due date 25/08/2022,Frontend
Display student name on Task description for validator to easily identify the student. ,Frontend
"Task: Click task Revision it redirect the student to wrong url, so the student can see the form",Frontend
"Add spinner to ""Send Reminder"" button to prevent multiple clicks before the first process is done.",Frontend
List of Employability Survey table: cannot filter on column template selected. it seems the dropdown list still taking on the list of question tools,Frontend
Make the field non-mandatory but display a warning message if not completed to prevent submission blockage.,Frontend
Form builder: customer need to have answer type Continous study on the form builder,Frontend
There is error TypeError: Cannot set properties of undefined (setting 'status') Veuillez alerter l'administration when I try to filter column Employability Survey 2,Frontend
"Notification and message: when I create a notification template, I cannot move to other part of the text by clicking using mouse. i can only navigate using arrow keyboard",Frontend
"When user change the Employability Survey name, it won't change on the title of the page",Frontend
"When I click the search field in school column, I cannot see the drop down list of schools in full sentence because it got cut",Frontend
Add Sweet Alert to notify user if the Employability Survey name already exists.,Frontend
"I notice when Employability Survey is sent to student the color is RED, it supposed to be Yellow (sent to student) for RED color it should be for when Employability Survey is rejected by validator",Frontend
Add Employability Survey Process name in Tasks in Complete Employability Survey,Frontend
Parsing on Dashboard -> Recent Mail for custom mail has CKEditor commented code,Frontend
"User able to click ""Sent to Student"" Multiple times in continous Employability Survey and they will get multiple tasks and notif for the same Employability Survey Process",Frontend
"When the Employability Survey Template is already published and sent to students, the form template used in the Employability Survey Template cannot be unpublished on the form builder.",Frontend
"After user edit the Employability Survey Parameter and move toEmployability Survey ES Result or Leave, there is no SWAL to save the change display",Frontend
Use the search function that supports accent and prevent deletion of data in the search field when typing slice (/).,Frontend
There is SWAL error display when I try to search 'ADMTC' in Assigned to column,Frontend
"After I reject the step as validator, the Employability Survey status and Employability Survey status card is Completed by Student not Rejected by Validator.",Frontend
"The Send Date in the Student Card is populated from the Send Date in the Employability Survey Parameter, not when the Employability Survey is sent to the student",Frontend
One Time There is a SWAL error display when I click the Employability Survey sub-menu in Student UI,Frontend
student button is hidden when make Employability Survey from student table,Frontend
"Remove hover cursor pointer on Survey Name, Title, and Class columns of Employability survey table. Use pointer cursor only for clickable elements. ",Frontend
UI : Add tooltip in dropdown panel on Employability Survey in Columns :  - Title - Class - Template Selected  - Survey Type,Frontend
UI : Panel on filter in student table parameter to be below of the input as currently panel is  overlapping with user input,Frontend
"Functionality : In One Time Employability Survey, Student receives the Employability Survey, but in Employability Survey Parameter student table, said student still can be excluded. (If student already received Employability Survey, they cannot be excluded  anymore)",Frontend
UI: Add tooltip in Student table in Step 1: Employability Survey Parameter in Include column,Frontend
One Time: Add Filter for Included column: - All - Sent to student  - Included  - Excluded  Add Sorting: - Included - Not Included - Sent to Student  ,Frontend
"One Time: after user click on send to student button, don't hidden the button, make it become inactivate and will Only active if there is new student included.",Frontend
"In the create Employability Survey pop up and there is an sweet alert error, after the sweet alert error closed, it should be redirect back to create Employability Survey pop up",Frontend
"In the create Employability Survey pop up, for RNCP Title field, show RNCP Title that only have student in the dropdown",Frontend
In the Employability Survey pop up add asterisk symbol for the mandatory field and warning message if user left empty the field,Frontend
"One time : In the step 2 Employability Survey result table, only display student data that Included in the Step 1 Employability Survey parameter",Frontend
"One time : After I set parameter in step 1 Employability Survey parameter, then I include student by click toggle on the student table. Do not refresh the Parameter section",Frontend
"In the step 2 Employability Survey Result, in Employability Survey status column  if data is empty give it ""X"" with a tooltip ""Not generated""",Frontend
"One time : After click Send to student button, if the student is already included change the toggle with Check",Frontend
"When user add new chain of Employability Survey, seperate container Employability Survey Parameter with student table",Frontend
One time : In the step 2 Employability Survey Result for Employability Survey status already send.,Frontend
"After Final step rejected by validator, As Student I can only modify the final step where I should be able to modify all of the step within the Form",Frontend
AFter clicking on the send email in action button  then  canceling the action a white dot apppears on it,Frontend
"One time Employability Survey: When I create Employability Survey from Student table, in the create Employability Survey pop up I see the warning text for date send & date expiration is overlaping with text below it.",Frontend
"I see the dropdown list in column Registration status, status, Final transcript result and included, the list are still not in order (A to Z)",Frontend
"After i successfulyt logging as academic director, it will redirect to title rncp menu, and it's not to mailbox menu",Frontend
One time : The button label Include & Exclude and also the tooltip is not changed to [FR] when user changed the localization  ,Frontend
"In the list of Employability Survey table, after I sort data then click reset. I notice the reset is not working so the data still in sort",Frontend
When I zoom in until 100% in my web browser the UI of Step 2: Employability Survey Result table is not shown properly. :,Frontend
"In the list of Employability Survey table, I notice the daa in column ""Survey Type"" is not left align. it should be left align because the data is text. ",Frontend
"In the list of Employability Survey table, In column Status I notice there are no option ""Not sent"" need to include status Not sent in the status filter",Frontend
"One time : Column Final Transcript Result Incorret [FR] Final Transcipt Result , the should be [FR]  Relevé de notes final",Frontend
"In the step 2 ES Result, I notice the tooltip for column ES Status is not accurate. it should be  [EN] ES Status || [FR] Statut de l'enquête ",Frontend
In the step 2 ES Result I notice when I hover data for status (lock icon) there is no tooltip,Frontend
"Employability Survey Tabel - School column In school colum, when we try to search school that not in the tabel it not display 'no data to show'",Frontend
"Change tooltip for Final transcript status to have only the first word capitalized.
Change tooltip for Pass status to ""Passed"".",Frontend
"List of Employability Survey - Icon When I change the language, the icon is not displayed",Frontend
"dropdown list in the column included incorrect ""already send to student"" the shoulde be ""send to student""",Frontend
"In the Employability Survey Card, I notice the format for send date when in [FR] is incorrect, there should be comma but in env there are no comma",Frontend
"After I do the export in the step 2 Employability Survey result and check on my google drive, I see the spreadsheet is empty, there are no student data populated in the spreadsheet",Frontend
button include and exlude is not working as well as (delay),Frontend
when check on the student card  & Student UI >> Employability survey the format for send date and due date there is no comma when check on student UI ,Frontend
Employability Survey card format name in student card wrong ,Frontend
"name PASS not consistent, should be the name is Passed",Frontend
"In the menu task -> Pending menu, I see the date that displayed in pending card is due date where it should be send date of Employability Survey",Frontend
"Continuous Employability Survey: When I try to Add chain, one of mandatory field did't display warning message",Frontend
"Currently, when I access Step 1 Employability Survey parameter for Employability Survey process I get SWAL error",Frontend
Continuous : Continuous Employability Survey toggle is displaying toggle is wrong ,Frontend
Continuous : I see the answer that already selected before is appear in the dropdown,Frontend
The include toggle is active for unselected students,Frontend
"As the student, i see the completed by student have check status for me, though my task has been rejected by validator",Frontend
there is no SWAL after click button complete revision in the form filling,Frontend
"As a validator, I can't see the validation notification in the Employability Survey mailbox, nor use the 'search bar' in the Task Table description column.",Frontend
The FR localization of Exact Date and Relative Date is switched,Frontend
"As validator I want to reject the ES of student, but when reject it display SWAL error",Frontend
No option for filtering complete derogation/dispense form in the task description column filter,Frontend
Use consistent sorting function for template type in ascending order (A-Z) and descending order (Z-A).,Frontend
"Display only Title/Class/School related to academic director School connected in the ""Asking a Form"" pop-up.",Frontend
"Task of Derogation/Dispense Form to Complete the reference is not displayed, also the from is EMPTY",Frontend
"In the student - derogation/dispense table, the status is not changed to [EN] Waiting for validation [FR] En attente de validation even though the step requires validation for certifier admin.",Frontend
Task of Derogation/Dispense Form to Validate : <Reference>  displayed  : TASKS_derogation_dispense.final_validate_form_process in certifier admin task,Frontend
"In menu student > derogation/dispense after i complete the form, status of the form didnt change to orange dot",Frontend
"After certifier admin ask revision to academic director, in menu students > derogation/dispense the status not change to yellow dot",Frontend
Filter status on derogation/dispense table is missing optionn validated,Frontend
"Display only Title/Class/School related to academic director School connected in the ""Asking a Form"" pop-up. ",Frontend
Folder name of derogation/dispense in acad kit is wrong it display DEROGATION_OR_DISPENSE should be : [EN] Derogation/dispense [FR] Dérogation/Dispense,Frontend
"The derogation/dispense folder format is incorrect. It does not display the summary document, reference folder, or expected step document.",Frontend
i see the option filter in each column the dropdown didnot reflected with data that displayed on the table,Frontend
"In Form template type dropdown, I see option Derogation/Dispense in the dropdown written ""DEROGATION.Derogation/Dispense"" it should be ""Derogation/Dispense"".",Frontend
"there is option [EN]Rejected By Validator, when it should be [EN[Ask for revision. Also the the FR localization for Validated is still incorrect, it display  [FR]Valider when it should be [FR]Acceptée",Frontend
some key is not populated properly in the notification RegUser_N1,Frontend
FE GUIDELINES dropdown position be overlapping with field input in the select decision and alphabetical yet,Frontend
" in FR displaying ""Editer"" should be Modifier",Frontend
unresponsive tables when the resolution is 100% the text is cut off and the scroll doesn't work,Frontend
Jury Type and Jury Characteristic dropdown position be overlaping  and not alphabetical order  FE GUILDELINES,Frontend
There is a SWAL Error display when I try to modify a document in the Subject Certifications sub-menu in the Student UI,Frontend
There is no folder displaying the Passport and CV document in the Subject od Certification sub-tab in the Student Card,Frontend
The document name is written in English not France even though user upload it in France,Frontend
The passport and CV document isn't change right away after I Modify it in the Acad Kit. I need to refresh it first.,Frontend
"title incorrect because displaying ""Step 2. Set up session""",Frontend
The passport and CV document isn't removed right away after I remove it in the Student Card. I need to refresh it first.  Also apply for the modify.,Frontend
"when I modify document and I click add this file should not exit the edit document dialog and only change the document, before the document is submitted.",Frontend
List of Jury Organization table There is no option Retake Grand Oral Off Platform in the dropdown filter  of column Type,Frontend
"I see the localization inside ""Upload presentation document"" dialog is ""Fichier Acceptés"" not ""Fichier Acceptéd"".",Frontend
"I see the localization inside ""Edit Document"" dialog, for document type is incorrect. it still displaying the key ACAD_KIT.DOC like this ""ACAD_KIT.DOC.Document Type"".",Frontend
"i see label ""Jury characteristic "" not asterik on dialog jury organization.",Frontend
The block that is got retake display empty it should display dash icon,Frontend
"The Field name on the modify doucment pop up display: - Type of document - name of document - Document type  But for the document type, it display: ACAD_KIT.DOC.Document Type (both in EN and FR)",Frontend
"when i resolve download document, spinner appear/loading . but when spinner loading i still select another card .",Frontend
SWAL Unsaved Changes is displayed after saving the changed decision,Frontend
name Studennt not expection. expected Student name with format : <student last name><student first name><student civility>,Frontend
"The SWAL for multiple student publish is not correct, when I check 1 student and then click on next page. Then I check 1 student again. I click publish button above the table. Show the SWAL, but is not correct and just show 1 student, not 2 students",Frontend
"When I open a edit dialog on subject for certification with name Grad Oral - Retake MPI 2022 - GO - Juliet 2022, I see field: [EN] ""Nameof Document"" [FR] ""Nomdu document"" and ""Type dedocument""",Frontend
type of document and name of document in academic kit not sincron that is student UI,Frontend
Pending tasks Task Déposer CV and Déposer Passeport Acceptéd is wrong,Frontend
in the Assign One of Several Correctors field there is double asterik symbol and there is no text error message,Frontend
"in the Assign One of Several Correctors field dropdown overllaping, no alphabetical order yet and not have all option. Fe GUILDELINES",Frontend
There is no button to send an email in the action column,Frontend
 there is no Assign Grand Oral Corrector and mark entry for retake grand oral in the dropdown description column,Frontend
"FE GUILDELINES in the select entity, select school type, select school and select user type field  dropdown still display overlapping.",Frontend
tooltip display Grand Oral PDF displaying still wrong and does not match the hovered text,Frontend
"jury type and jury characteristik there is no ""None"" option and in FR ""None"" for select certifier, select RNCP Title, select a class field display ""Pas de sélection""",Frontend
"dropdown not have ""None"" option and not alphabetical order yet",Frontend
"when click ""Download Previous Grand Oral"" not open new tab",Frontend
"when you add a new specialization and click on another tab without saving first, there is so swal TMTC_S01",Frontend
"For Title RNCP Title Management there is quatation mark ("") in FR",Frontend
when adding a specialization there is no swal error and the data in the specialization can be the same or not unique,Frontend
dropdown position be overlapping with field input - Validation 1 - Validation 2 (precentage and sign option) - Minimum level of mastery,Frontend
"when adding a competency block, the competency button inside the block is inactive and cannot proceed to the next step",Frontend
"when I add the phrase for competency in the FR language, it doesn't display the phrase type. but after I change to EN and change again to FR it will display the phrase type",Frontend
button +criteria evaluation inactive,Frontend
dropdown position be overlapping with field input - Validation 1 - Validation 2 (precentage and sign option) - Minimum level of mastery,Frontend
dropdown position be overlapping with field input in the phrase type,Frontend
The color in the text cannot be read because the color for the text is too bright (yellow color),Frontend
The dropdown in filter class get cut off,Frontend
When hover on specialization column there is no tooltip,Frontend
 dropdown position be overlapping with field input in the select Specialization,Frontend
"in FR display  ""Titre RNCP - Centre de Préparation"" should be display ""Titres RNCP - Centre de Préparation",Frontend
"When I Exempt some of the bloc, in the exemption bloc section I see the specialization bloc is also get exempted.",Frontend
"in [FR] display ""Title RNCP"" there is no word Connecté.  should show ""Titre RNCP Connecté""",Frontend
"On the student UI > My file > Course, I see the specialization name are displayed [Object object].",Frontend
"Sort the dropdown alphabetically and select ""None"" option. Validate minimum mastery level and select specialization field for phrase type.",Frontend
in the phrase type above the table displays the type of phrase that is cut off,Frontend
Edit Connected RNCP Title Select Specialization should be dropdown display alpha order  FE Guideline,Frontend
I remove specialization who have not connected at any school. I get a swal error after I click save button,Frontend
List of block competencies is not in order,Frontend
dropdown position be overlapping with field input Select RNCP Title and Select Class,Frontend
in [EN] Text toggle No Spécialisation incosistent because have accent,Frontend
"When click save button in step 2 Template Competencies, there is no spinner to indicate that saving process is still in progress",Frontend
"dropdown position be overlapping with field input Specialization, still not alphabetical order and not have 'None' Option",Frontend
"When I add specialization in class parameter, it required me to save it 2 time to be able to move to other tab.",Frontend
"Block Accordion Add Phrase for Block None in the dropdown in FR should be display ""Aucune""",Frontend
"add specialization dropdown there is no ""None"" in EN and ""Aucune"" in FR option in the specialization",Frontend
on the Student card when I check on [FR] the label for switch Add specialization it's not consistent compared with class parameter.,Frontend
Student Card when Add specialization click on the button in SWAL I can see the specialization of the student is still to Internet of Things,Frontend
"Job description when display excess text ""&nbsp;"" at the end of the word",Frontend
student card when dropdown position be overlapping with field input in the select Specialization,Frontend
"select RNCP Title not displaying field for S-RM2C, even though there is a title S-RM2C when I select in column school",Frontend
"On the form filling of job desciption, if student have 10 or more step, I see the step 10 is overlaping the step name.",Frontend
"On the form filling job description, if student add new line of mission, it will trigger the mandatory field on other field (so all field become red).",Frontend
"Student Mrs Lamia ADJAL are exempted from bloc 1 & 2 but in the form filling of job description, bloc 1 & 2 are still included.",Frontend
"Section ""The Student"" is not displayed right when using the Search field",Frontend
"when I delete specialization then do other action, the deleted specialization will appear again",Frontend
there is no line under the field phrase type and phrase name when add phrase,Frontend
"in the select block, Select subject and Select test field display not alphabetical order",Frontend
"The document and document type fields are not in alphabetical order and lack a ""None"" option in the dropdown. Additionally, the ""All"" option is not available in the dropdown",Frontend
"in the  Assign one of several Correctors there is no ""None and All"" option in the dropdown, dropdown overlapping,  and not alphabetical order",Frontend
The block specialization not accurate after I select specialization in the student card,Frontend
Student who did not take specialization bloc see the specialization bloc in their mark entry AutoEval.   to mark entry  to student card,Frontend
In the test preview bloc display not accurate. not match in the bloc  step 2. template competences,Frontend
the icon warning outside the input card to eval pro correction,Frontend
Need to disable specialization block exemption in the setup grand oral schedule table,Frontend
check to the preview if there are many blocks to be displayed the page will be unresponsive to the page,Frontend
there is swal error when i try t access the page correction eval pro,Frontend
"Check for the result Pro Eval PDF,  i see empty page number    to eval pro",Frontend
i got another competency that is not related to the specialization that affected the student,Frontend
Dropdown column Compétences not following FE Guidelines,Frontend
"Connecting specialization to school when click on outside drop down, the dropdown still displayed",Frontend
"I cannot add competency more than 1 competency on block competency . you can use title ""S-MA DECALE FEV 2023""",Frontend
"As ADMTC Admin, when I edit connected RNCP Title and select specialization, I can choose ‘None’ option but at the same time I still can pick other options",Frontend
Need to Implement SWAL + add Validation from BE to prevent user from add Block if there is at least 1 student grand oral mark entry done,Frontend
"School Detail Connected RNCP Title when I click option ""None"", the option is not checked",Frontend
"When i click option ""None"", it shows a SWAL Error, TypeError and when i click OK, it shows infinite spinner",Frontend
When student download grandoral Pdf Result in the subject for certfication. PDF result not accurate in the  mark entry,Frontend
 Connecting Specialization to school The specialization dropdown to big FE Guidelines,Frontend
"Need to remove none in dropdown Phrase type, Validation 1,  Validation 2, Minimum Level of Mastery since it's mandatory field.",Frontend
"In the mark entry of grand oral, I see below the bloc card, for specialization is still display B5 instead of S1",Frontend
Connecting Specialization to a new student Need to remove none in dropdown  Specialization since it's mandatory field. ,Frontend
Document PDF after I check document pdf there is new page same with the first page,Frontend
"in the column specialization  the status of the specialization is retake, it should display a green tick",Frontend
for the dash between bloc and specialization incosistent,Frontend
Change mark entry for Retake Grand Oral to display S2 specialization card.,Frontend
"Make ""Complete Revision Text"" a mandatory field and disable the save button until all fields are filled",Frontend
[General Notification][Save button] I get swal error after I click save button for set general notification,Frontend
"To prevent redirection to step 4 without clicking the submit button, add a submit button to the form",Frontend
[Employablity Survey] After I fill the form filling until step 3 and I back in the step 2 I cannot modify step 2,Frontend
[Employabilty Survey] I still can edit other step after click submit form to validate,Frontend
Use lists and paragraphs to improve form usability and control the data collected in Form Builder's Step Details on the question section.,Backend
some characters value are hidden in field type and field position.,Frontend
validator rejected resume -> student completed revision and redirect in the final step (validator no validate yet),Frontend
When i add the question in form builder below field option is populated with mandatory text warning  even though the option field is empty.,Frontend
After I rejected form -> as <user who complete to form> back in the step before can modify but there is no button,Frontend
"the option should be ""Preparation Centre Eval Soft Skill""",Frontend
"check in the correction type there is no ""Academic Director""",Frontend
"Multiple radio buttons, only Mark Entry and Multiple date should be available, but Multiple date is not generated, causing a blocking issue during check-in.",Frontend
"When add new document for document expected, the dialog is not looks good properly in FR",Frontend
 date in the mark entry is not accurate and does not match the date set in the test creation   check also in the pdf result,Frontend
"When I not yet finish mark entry all student, I see Submit button is enable",Frontend
the mark entry should show multiple dates consistent with preview test and pdf result,Frontend
The task date preview for uploading expected document did not reflect the date inputted in the multiple dates form,Frontend
The task to upload expected document is generated 6 times in total after validating the second mark entry,Frontend
I can add the test subject on the class already started ,Frontend
in the dialog close contract for icon display still wrong and the placement of the X icon is still not to the right,Frontend
Icon in the dialog  Reason of Deactivation displaying is wrong ,Frontend
dialog close currect contract incossitent  when I login as academic director(displays a large dialog when I login as ADMTC Director),Frontend
"When I Quick Search last name student, email student in click search student and email , student not found condition login as Certifier Admin but in student name of student display |",Frontend
"when i want Edit refund, dialog Edit Refund Field Form Not populate on field ""From"", ""Date"" , ""method of payment"". w",Frontend
"when i want delete refund, it throw error:",Frontend
when i want delete manual OD cash transfer. spinner always displays. w,Frontend
"As Finance Member (Mrs Ekaterina SOROKOPOUD), there is no Menu Finance -> Master Table Transaction",Frontend
Icon Euro And Note Still Displayed when the flux is billing,Frontend
"The student balance table shows a non-zero and non-green balance, despite only validating the modality in student form filling. Check the balance in 1 term, 3 terms, and 8 terms.",Frontend
Missing localization on this swal for IBAN outside Europe and it moved to next step then display that SWAL,Frontend
